Date,Open,High,Low,Close,Adj Close,Volume
2001-08-22,14.179556,14.415882,14.179556,14.179556,5.591665,1531994
2001-08-23,14.415882,14.652208,14.179556,14.415882,5.684859,3251970
2001-08-24,14.179556,15.124860,14.179556,14.888534,5.871248,8538101
2001-08-27,15.124860,15.361186,14.652208,15.124860,5.964443,6784168
2001-08-28,15.361186,15.361186,14.415882,14.652208,5.778054,4448093
2001-08-29,14.652208,15.597512,14.415882,15.361186,6.057636,7192714
2001-08-30,15.124860,15.361186,14.415882,14.415882,5.684859,4424292
2001-08-31,14.415882,14.652208,14.415882,14.415882,5.684859,1343166
2001-09-03,14.652208,14.888534,14.652208,14.888534,5.871248,2298943
2001-09-04,15.124860,15.124860,14.652208,14.888534,5.871248,1726111
2001-09-05,14.888534,14.888534,14.652208,14.652208,5.778054,1105993
2001-09-06,14.652208,14.888534,14.652208,14.652208,5.778054,1156030
2001-09-07,14.652208,14.888534,14.415882,14.888534,5.871248,1219819
2001-09-10,14.652208,14.888534,13.943230,14.179556,5.591665,2210612
2001-09-11,14.179556,14.179556,13.943230,14.179556,5.591665,1236004
2001-09-12,14.179556,14.179556,14.179556,14.179556,5.591665,0
2001-09-13,12.761601,12.761601,12.288949,12.525275,4.939304,4184474
2001-09-14,12.525275,12.525275,9.925689,10.870993,4.286943,4193784
2001-09-17,9.689363,9.925689,9.358507,9.453037,3.727777,3544363
2001-09-18,10.398341,10.398341,9.453037,9.453037,3.727777,2068647
2001-09-19,9.925689,10.398341,9.689363,10.398341,4.100554,1802489
2001-09-20,9.925689,9.925689,9.689363,9.689363,3.820971,1383682
2001-09-21,9.453037,9.689363,9.453037,9.453037,3.727777,915155
2001-09-24,9.453037,9.453037,9.453037,9.453037,3.727777,0
2001-09-25,10.162015,10.162015,9.453037,9.453037,3.727777,3328030
2001-09-26,9.689363,9.689363,9.358507,9.358507,3.690499,1500998
2001-09-27,9.453037,9.689363,9.358507,9.358507,3.690499,821534
2001-09-28,9.358507,9.358507,9.358507,9.358507,3.690499,0
2001-10-01,9.453037,9.689363,9.453037,9.689363,3.820971,541836
2001-10-02,9.453037,9.925689,9.453037,9.689363,3.820971,1597370
2001-10-03,9.689363,9.689363,9.453037,9.453037,3.727777,1271548
2001-10-04,9.689363,10.162015,9.689363,10.162015,4.007360,2193686
2001-10-05,9.925689,10.162015,9.925689,10.162015,4.007360,284458
2001-10-08,9.689363,9.925689,9.689363,9.925689,3.914165,446946
2001-10-09,9.925689,10.398341,9.925689,10.162015,4.007360,786413
2001-10-10,10.162015,10.398341,9.925689,10.162015,4.007360,593248
2001-10-11,10.634667,10.634667,10.398341,10.398341,4.100554,1756895
2001-10-12,10.634667,10.870993,10.398341,10.634667,4.193749,932504
2001-10-15,10.634667,10.634667,10.162015,10.162015,4.007360,564368
2001-10-16,10.398341,10.634667,10.398341,10.398341,4.100554,321483
2001-10-17,10.634667,10.634667,10.398341,10.634667,4.193749,240980
